(B) Sort...
/bin/rm: No match.
===> w1data/f0
4,170c4,7
< | Fri Apr  4 2008 | Royalty check            |      5,708.33  |      5,708.33  |
< | Sun Apr 13 2008 | Rent                     | (    5,991.62) | (      283.29) |
< | Fri May 16 2008 | Royalty check            |      6,469.83  |      6,186.54  |
< | Sat Jun 14 2008 | Bonus                    |      3,963.09  |     10,149.63  |
< | Sun Jul  6 2008 | Bonus                    |      6,056.92  |     16,206.55  |
< | Wed Jul  9 2008 | Interest                 |        257.52  |     16,464.07  |
< | Wed Aug 13 2008 | Bonus                    |      5,693.04  |     22,157.11  |
< | Thu Oct  2 2008 | Bonus                    |      3,369.88  |     25,526.99  |
< | Tue Nov  4 2008 | Royalty check            |      5,948.45  |     31,475.44  |
< | Sat Nov 15 2008 | Department of water & po | (    6,033.68) |     25,441.76  |
< | Sat Nov 29 2008 | Gasoline                 | (    1,929.05) |     23,512.71  |
< | Thu Dec 25 2008 | Grocery                  | (    4,152.21) |     19,360.50  |
< | Sat Jan  3 2009 | Interest                 |      3,599.22  |     22,959.72  |
< | Sun Jan  4 2009 | Department of water & po | (    5,302.05) |     17,657.67  |
< | Sun Jan  4 2009 | Paycheck                 |      3,700.53  |     21,358.20  |
< | Sat Feb 14 2009 | Interest                 |      2,016.74  |     23,374.94  |
< | Tue Mar 17 2009 | Royalty check            |      4,156.07  |     27,531.01  |
< | Sun Apr 12 2009 | Bonus                    |      1,077.43  |     28,608.44  |
< | Sun Apr 26 2009 | Grocery                  | (    3,764.95) |     24,843.49  |
< | Fri May  1 2009 | Gasoline                 | (    4,173.94) |     20,669.55  |
< | Thu Jul  9 2009 | Paycheck                 |      3,636.99  |     24,306.54  |
< | Sun Jul 19 2009 | Royalty check            |      2,805.74  |     27,112.28  |
< | Mon Aug  3 2009 | Royalty check            |      1,427.00  |     28,539.28  |
< | Fri Aug 14 2009 | Royalty check            |      4,714.06  |     33,253.34  |
< | Sun Aug 16 2009 | Cable TV                 | (    1,672.62) |     31,580.72  |
< | Sat Aug 22 2009 | Gas company              | (    1,997.50) |     29,583.22  |
< | Sun Oct  4 2009 | Gasoline                 | (    1,117.57) |     28,465.65  |
< | Thu Nov 26 2009 | Rent                     | (    2,119.78) |     26,345.87  |
< | Tue Dec 22 2009 | Paycheck                 |        777.36  |     27,123.23  |
< | Thu Dec 31 2009 | Paycheck                 |      3,774.41  |     30,897.64  |
< | Thu Jan 14 2010 | Cable TV                 | (    4,252.19) |     26,645.45  |
< | Wed Feb 17 2010 | Phone bill               | (      952.04) |     25,693.41  |
< | Tue Feb 23 2010 | Gasoline                 | (    1,290.31) |     24,403.10  |
< | Fri Mar 26 2010 | Cable TV                 | (       22.28) |     24,380.82  |
< | Tue Mar 30 2010 | Phone bill               | (    4,840.62) |     19,540.20  |
< | Tue Apr 27 2010 | Gas company              | (    1,089.35) |     18,450.85  |
< | Tue May 18 2010 | Paycheck                 |        711.02  |     19,161.87  |
< | Sat Jul 10 2010 | Paycheck                 |      6,434.48  |     25,596.35  |
< | Sat Jul 17 2010 | Royalty check            |      3,280.93  |     28,877.28  |
< | Mon Jul 19 2010 | Rent                     | (    2,618.32) |     26,258.96  |
< | Thu Jul 29 2010 | Interest                 |      3,894.52  |     30,153.48  |
< | Sat Sep 18 2010 | Interest                 |      5,761.91  |     35,915.39  |
< | Wed Oct 20 2010 | Paycheck                 |      1,080.27  |     36,995.66  |
< | Mon Nov  8 2010 | Royalty check            |        698.43  |     37,694.09  |
< | Fri Jan  7 2011 | Cable TV                 | (    1,040.16) |     36,653.93  |
< | Sat Jan 15 2011 | Rent                     | (    1,959.26) |     34,694.67  |
< | Mon Jan 17 2011 | Phone bill               | (    5,380.72) |     29,313.95  |
< | Sun Jan 30 2011 | Bonus                    |      1,704.94  |     31,018.89  |
< | Fri Feb 25 2011 | Gas company              | (    1,760.99) |     29,257.90  |
< | Tue Mar 15 2011 | Rent                     | (      618.20) |     28,639.70  |
< | Tue Mar 29 2011 | Department of water & po | (    5,160.27) |     23,479.43  |
< | Mon May 16 2011 | Royalty check            |        224.89  |     23,704.32  |
< | Sun May 22 2011 | Department of water & po | (    2,545.85) |     21,158.47  |
< | Mon May 30 2011 | Paycheck                 |        975.76  |     22,134.23  |
< | Mon Aug 22 2011 | Bonus                    |      1,583.40  |     23,717.63  |
< | Sat Sep  3 2011 | Paycheck                 |      2,070.53  |     25,788.16  |
< | Mon Sep 12 2011 | Bonus                    |        839.63  |     26,627.79  |
< | Wed Sep 14 2011 | Paycheck                 |      2,298.68  |     28,926.47  |
< | Wed Oct  5 2011 | Paycheck                 |      3,571.36  |     32,497.83  |
< | Mon Nov  7 2011 | Bonus                    |      1,442.06  |     33,939.89  |
